miss_rate,cache_size,associativity,cache_size_power,block_size,block_size_power
0.504,1024,4,10,16,4
0.487,1024,4,10,32,5
0.479,1024,4,10,64,6
0.469,1024,4,10,128,7
0.478,1024,4,10,256,8
0.487,2048,4,11,16,4
0.441,2048,4,11,32,5
0.426,2048,4,11,64,6
0.426,2048,4,11,128,7
0.435,2048,4,11,256,8
0.477,4096,4,12,16,4
0.419,4096,4,12,32,5
0.383,4096,4,12,64,6
0.368,4096,4,12,128,7
0.358,4096,4,12,256,8
0.467,8192,4,13,16,4
0.402,8192,4,13,32,5
0.355,8192,4,13,64,6
0.321,8192,4,13,128,7
0.302,8192,4,13,256,8
0.466,16384,4,14,16,4
0.396,16384,4,14,32,5
0.34,16384,4,14,64,6
0.289,16384,4,14,128,7
0.246,16384,4,14,256,8
0.466,32768,4,15,16,4
0.396,32768,4,15,32,5
0.337,32768,4,15,64,6
0.275,32768,4,15,128,7
0.225,32768,4,15,256,8
